S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
248,SMHL,438.00,0.00,0.00,432.10,439.90,432.10,"4,950.00",438.00
249,SMJC,375.70,-5.30,-1.39,375.00,380.00,374.10,"6,601.00",381.00
250,SNLI,603.00,7.00,1.17,597.10,604.00,595.10,"19,354.00",596.00
251,SONA,458.00,-4.00,-0.87,462.00,465.00,455.20,"46,929.00",462.00
252,SPC,532.00,-4.00,-0.75,540.00,546.70,530.00,"2,020.00",536.00
253,SPDL,231.20,-2.10,-0.90,230.00,239.00,230.00,"5,280.00",233.30
254,SPHL,472.50,-8.00,-1.66,472.00,478.00,472.00,"1,635.00",480.50
255,SPIL,740.00,0.10,0.01,725.60,745.00,725.60,"3,588.00",739.90
256,SPL,644.00,-6.00,-0.92,663.00,663.00,642.00,234.00,650.00
257,SRLI,439.50,-2.50,-0.57,438.00,446.70,437.20,"3,587.00",442.00
258,SSHL,159.10,-0.40,-0.25,162.00,162.00,159.00,"15,829.00",159.50
259,STC,"4,400.00",15.00,0.34,"4,385.00","4,427.50","4,385.00",110.00,"4,385.00"
260,SWBBL,769.90,5.10,0.67,774.00,774.90,760.00,"3,708.00",764.80
261,SWMF,757.00,8.80,1.18,740.00,763.00,740.00,"3,984.00",748.20
262,TAMOR,378.20,-2.80,-0.73,374.00,381.50,374.00,"2,939.00",381.00
263,TPC,507.50,-9.50,-1.84,510.00,513.00,507.50,"1,280.00",517.00
264,TRH,780.00,-20.70,-2.59,785.00,864.00,772.00,"16,342.00",800.70
265,TSHL,494.30,-5.70,-1.14,500.00,500.00,494.00,"4,211.00",500.00
266,TVCL,480.00,0.20,0.04,471.00,480.00,471.00,680.00,479.80
267,UAIL,527.10,4.10,0.78,524.10,530.00,524.10,"1,173.00",523.00
268,UHEWA,353.20,-3.80,-1.06,349.90,365.90,349.90,"4,923.00",357.00
269,ULBSL,"1,425.00",60.00,4.40,"1,365.00","1,438.00","1,365.00","1,550.00","1,365.00"
270,ULHC,339.00,-3.00,-0.88,335.20,340.00,330.00,"17,655.00",342.00
271,UMHL,233.90,-0.10,-0.04,235.00,235.00,231.10,"8,227.00",234.00
272,UMRH,348.00,-6.00,-1.69,354.00,358.60,347.10,"4,353.00",354.00
273,UNHPL,230.00,-1.80,-0.78,229.10,234.00,227.70,"9,823.00",231.80
